Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NC_000962.3	59896	60417		plus	hypothetical protein		887008	protein-coding			NP_214571.1	hypothetical protein	173	Rv0057
NC_000962.3	60396	63020		plus	replicative DNA helicase	dnaB	887009	protein-coding			NP_214572.1	replicative DNA helicase	874	Rv0058
NC_000962.3	63200	63892		plus	hypothetical protein		887006	protein-coding			NP_214573.1	hypothetical protein	230	Rv0059
NC_000962.3	63909	64967		plus	hypothetical protein		887004	protein-coding			NP_214574.1	hypothetical protein	352	Rv0060
NC_000962.3	65012	65350		minus	hypothetical protein		14515843	protein-coding			YP_007408697.1	hypothetical protein	112	Rv0061c
NC_000962.3	65552	66694		plus	cellulase CelA	celA1	887007	protein-coding			YP_177689.1	cellulase CelA	380	Rv0062
NC_000962.3	66923	68362		plus	oxidoreductase		886999	protein-coding			NP_214577.1	oxidoreductase	479	Rv0063
NC_000962.3	68418	68579		plus	hypothetical protein		19394667	protein-coding			YP_009030026.1	hypothetical protein	53	Rv0063a
NC_000962.3	68620	71559		plus	transmembrane protein		886996	protein-coding			NP_214578.1	transmembrane protein	979	Rv0064
NC_000962.3	71589	71828		plus	antitoxin VapB1	vapB1	14515844	protein-coding			YP_007408701.1	antitoxin VapB1	79	Rv0064A
NC_000962.3	71821	72222		plus	ribonuclease VapC1	vapC1	886993	protein-coding			NP_214579.1	ribonuclease VapC1	133	Rv0065
NC_000962.3	72274	74511		minus	isocitrate dehydrogenase	icd2	887016	protein-coding			NP_214580.1	isocitrate dehydrogenase	745	Rv0066c
NC_000962.3	74629	75198		minus	transcriptional regulator		886991	protein-coding			NP_214581.1	transcriptional regulator	189	Rv0067c
NC_000962.3	75301	76212		plus	oxidoreductase		886989	protein-coding			NP_214582.1	oxidoreductase	303	Rv0068
NC_000962.3	76237	77622		minus	L-serine dehydratase	sdaA	886986	protein-coding			NP_214583.1	L-serine dehydratase	461	Rv0069c
NC_000962.3	77619	78896		minus	serine hydroxymethyltransferase	glyA2	886983	protein-coding			NP_214584.1	serine hydroxymethyltransferase	425	Rv0070c
NC_000962.3	79486	80193		plus	maturase		886988	protein-coding			NP_214585.1	maturase	235	Rv0071
NC_000962.3	80624	81673		plus	glutamine ABC transporter permease		886984	protein-coding			NP_214586.1	glutamine ABC transporter permease	349	Rv0072
NC_000962.3	81676	82668		plus	glutamine ABC transporter ATP-binding protein		886977	protein-coding			NP_214587.1	glutamine ABC transporter ATP-binding protein	330	Rv0073
NC_000962.3	82748	83983		plus	hypothetical protein		886976	protein-coding			NP_214588.1	hypothetical protein	411	Rv0074
NC_000962.3	83996	85168		plus	aminotransferase		886982	protein-coding			NP_214589.1	aminotransferase	390	Rv0075
NC_000962.3	85183	85572		minus	membrane protein		886992	protein-coding			NP_214590.1	membrane protein	129	Rv0076c
NC_000962.3	85636	86466		minus	oxidoreductase		886969	protein-coding			NP_214591.1	oxidoreductase	276	Rv0077c
NC_000962.3	86528	87133		plus	transcriptional regulator		886990	protein-coding			NP_214592.1	transcriptional regulator	201	Rv0078
NC_000962.3	87208	87801		minus	hypothetical protein		3205053	protein-coding			YP_177616.1	hypothetical protein	197	Rv0078A
NC_000962.3	87798	88004		minus	hypothetical protein		14515845	protein-coding			YP_007408717.1	hypothetical protein	68	Rv0078B
NC_000962.3	88204	89025		plus	hypothetical protein		886995	protein-coding			NP_214593.1	hypothetical protein	273	Rv0079
NC_000962.3	89022	89480		plus	hypothetical protein		886966	protein-coding			NP_214594.1	hypothetical protein	152	Rv0080
NC_000962.3	89575	89919		plus	HTH-type transcriptional regulator		887012	protein-coding			NP_214595.1	HTH-type transcriptional regulator	114	Rv0081
NC_000962.3	89924	90403		plus	oxidoreductase		886968	protein-coding			NP_214596.2	oxidoreductase	159	Rv0082
NC_000962.3	90400	92322		plus	oxidoreductase		886965	protein-coding			NP_214597.1	oxidoreductase	640	Rv0083
NC_000962.3	92328	93278		plus	formate hydrogenlyase HycD	hycD	886959	protein-coding			NP_214598.1	formate hydrogenlyase HycD	316	Rv0084
NC_000962.3	93289	93951		plus	hydrogenase HycP	hycP	886973	protein-coding			NP_214599.1	hydrogenase HycP	220	Rv0085
NC_000962.3	93951	95417		plus	hydrogenase HycQ	hycQ	886963	protein-coding			NP_214600.1	hydrogenase HycQ	488	Rv0086
NC_000962.3	95414	96892		plus	formate hydrogenase HycE	hycE	886956	protein-coding			NP_214601.1	formate hydrogenase HycE	492	Rv0087
NC_000962.3	96927	97601		plus	polyketide cyclase/dehydrase		886954	protein-coding			NP_214602.1	polyketide cyclase/dehydrase	224	Rv0088
NC_000962.3	97758	98351		plus	methyltransferase		886949	protein-coding			NP_214603.1	methyltransferase	197	Rv0089
NC_000962.3	98480	99250		plus	membrane protein		886961	protein-coding			NP_214604.1	membrane protein	256	Rv0090
NC_000962.3	99684	100451		plus	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn	886953	protein-coding			NP_214605.1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	255	Rv0091
NC_000962.3	100583	102868		plus	cation transporter ATPase A	ctpA	886946	protein-coding			NP_214606.1	cation transporter ATPase A	761	Rv0092
NC_000962.3	102815	103663		minus	membrane protein		886945	protein-coding			NP_214607.1	membrane protein	282	Rv0093c
NC_000962.3	103710	104663		minus	hypothetical protein		886943	protein-coding			NP_214608.1	hypothetical protein	317	Rv0094c
NC_000962.3	104805	105215		minus	hypothetical protein		886940	protein-coding			NP_214609.1	hypothetical protein	136	Rv0095c
NC_000962.3	105324	106715		plus	PPE family protein PPE1	PPE1	886938	protein-coding			YP_177690.1	PPE family protein PPE1	463	Rv0096
NC_000962.3	106734	107603		plus	oxidoreductase		886942	protein-coding			NP_214611.1	oxidoreductase	289	Rv0097
NC_000962.3	107600	108151		plus	fatty acyl CoA thioesterase FcoT	fcoT	886935	protein-coding			NP_214612.1	fatty acyl CoA thioesterase FcoT	183	Rv0098
NC_000962.3	108156	109778		plus	fatty-acid--CoA ligase FadD10	fadD10	886933	protein-coding			NP_214613.1	fatty-acid--CoA ligase FadD10	540	Rv0099
NC_000962.3	109783	110019		plus	hypothetical protein		886931	protein-coding			NP_214614.1	hypothetical protein	78	Rv0100
NC_000962.3	110001	117539		plus	peptide synthetase Nrp	nrp	886951	protein-coding			NP_214615.1	peptide synthetase Nrp	2512	Rv0101
NC_000962.3	117714	119699		plus	integral membrane protein		886926	protein-coding			NP_214616.1	integral membrane protein	661	Rv0102
NC_000962.3	119915	122173		minus	cation-transporter P-type ATPase B	ctpB	886928	protein-coding			NP_214617.1	cation-transporter P-type ATPase B	752	Rv0103c
NC_000962.3	122317	123831		plus	hypothetical protein		886923	protein-coding			NP_214618.1	hypothetical protein	504	Rv0104
NC_000962.3	123980	124264		minus	50S ribosomal protein L28	rpmB1	886920	protein-coding			YP_177691.1	50S ribosomal protein L28	94	Rv0105c
NC_000962.3	124374	125570		plus	hypothetical protein		886919	protein-coding			NP_214620.1	hypothetical protein	398	Rv0106
NC_000962.3	125643	130541		minus	cation-transporter ATPase I	ctpI	886915	protein-coding			NP_214621.1	cation-transporter ATPase I	1632	Rv0107c
NC_000962.3	130895	131104		minus	hypothetical protein		886918	protein-coding			NP_214622.1	hypothetical protein	69	Rv0108c
NC_000962.3	131382	132872		plus	PE-PGRS family protein PE_PGRS1	PE_PGRS1	886912	protein-coding			YP_177692.1	PE-PGRS family protein PE_PGRS1	496	Rv0109
NC_000962.3	133020	133769		plus	integral membrane protein		886917	protein-coding			NP_214624.1	integral membrane protein	249	Rv0110
NC_000962.3	133950	136007		plus	acyltransferase		886909	protein-coding			NP_214625.1	acyltransferase	685	Rv0111
NC_000962.3	136289	137245		plus	GDP-mannose 4,6-dehydratase	gca	886907	protein-coding			NP_214626.1	GDP-mannose 4,6-dehydratase	318	Rv0112
NC_000962.3	137319	137909		plus	phosphoheptose isomerase	gmhA	886905	protein-coding			NP_214627.1	phosphoheptose isomerase	196	Rv0113
NC_000962.3	137941	138513		plus	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase	gmhB	886903	protein-coding			NP_214628.1	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase	190	Rv0114
NC_000962.3	138513	139673		plus	D-alpha-D-heptose-7-phosphate kinase HddA	hddA	886902	protein-coding			NP_214629.1	D-alpha-D-heptose-7-phosphate kinase HddA	386	Rv0115
NC_000962.3	139956	140144		plus	hypothetical protein		19394668	protein-coding			YP_009030027.1	hypothetical protein	62	Rv0115a
NC_000962.3	140267	141022		minus	L,D-transpeptidase LdtA	ldtA	886900	protein-coding			NP_214630.1	L,D-transpeptidase LdtA	251	Rv0116c
NC_000962.3	141200	142144		plus	oxidative stress response regulatory protein OxyS	oxyS	886914	protein-coding			NP_214631.1	oxidative stress response regulatory protein OxyS	314	Rv0117
NC_000962.3	142128	143876		minus	oxalyl-CoA decarboxylase OxcA	oxcA	886898	protein-coding			NP_214632.1	oxalyl-CoA decarboxylase OxcA	582	Rv0118c
NC_000962.3	144049	145626		plus	fatty-acid--CoA ligase FadD7	fadD7	886896	protein-coding			NP_214633.1	fatty-acid--CoA ligase FadD7	525	Rv0119
NC_000962.3	145627	147771		minus	elongation factor G	fusA2	886894	protein-coding			NP_214634.1	elongation factor G	714	Rv0120c
NC_000962.3	147908	148342		minus	hypothetical protein		886892	protein-coding			NP_214635.1	hypothetical protein	144	Rv0121c
NC_000962.3	148491	148859		plus	hypothetical protein		886888	protein-coding			NP_214636.1	hypothetical protein	122	Rv0122
NC_000962.3	148856	149224		plus	hypothetical protein		886887	protein-coding			NP_214637.1	hypothetical protein	122	Rv0123
NC_000962.3	149533	150996		plus	PE-PGRS family protein PE_PGRS2	PE_PGRS2	886883	protein-coding			YP_177693.1	PE-PGRS family protein PE_PGRS2	487	Rv0124
NC_000962.3	151148	152215		plus	serine protease PepA	pepA	886924	protein-coding			NP_214639.1	serine protease PepA	355	Rv0125
NC_000962.3	152324	154129		plus	trehalose synthase/amylase TreS	treS	886881	protein-coding			NP_214640.1	trehalose synthase/amylase TreS	601	Rv0126
NC_000962.3	154232	155599		plus	maltokinase	mak	886880	protein-coding			NP_214641.1	maltokinase	455	Rv0127
NC_000962.3	155667	156446		plus	transmembrane protein		886878	protein-coding			NP_214642.1	transmembrane protein	259	Rv0128
NC_000962.3	156578	157600		minus	diacylglycerol acyltransferase/mycolyltransferase Ag85C	fbpC	886885	protein-coding			YP_177694.1	diacylglycerol acyltransferase/mycolyltransferase Ag85C	340	Rv0129c
NC_000962.3	157847	158302		plus	3-hydroxyl-thioester dehydratase	htdZ	886876	protein-coding			NP_214644.1	3-hydroxyl-thioester dehydratase	151	Rv0130
NC_000962.3	158315	159658		minus	acyl-CoA dehydrogenase FadE1	fadE1	886874	protein-coding			NP_214645.1	acyl-CoA dehydrogenase FadE1	447	Rv0131c
NC_000962.3	159700	160782		minus	F420-dependent glucose-6-phosphate dehydrogenase	fgd2	886877	protein-coding			NP_214646.1	F420-dependent glucose-6-phosphate dehydrogenase	360	Rv0132c
NC_000962.3	160869	161474		plus	GCN5-like N-acetyltransferase		886873	protein-coding			NP_214647.1	GCN5-like N-acetyltransferase	201	Rv0133
NC_000962.3	161771	162673		plus	epoxide hydrolase EphF	ephF	886871	protein-coding			NP_214648.1	epoxide hydrolase EphF	300	Rv0134
NC_000962.3	162644	163249		minus	transcriptional regulator		886869	protein-coding			NP_214649.1	transcriptional regulator	201	Rv0135c
NC_000962.3	163366	164691		plus	cytochrome P450 Cyp138	cyp138	886868	protein-coding			NP_214650.1	cytochrome P450 Cyp138	441	Rv0136
NC_000962.3	164712	165260		minus	peptide methionine sulfoxide reductase MsrA	msrA	886865	protein-coding			NP_214651.1	peptide methionine sulfoxide reductase MsrA	182	Rv0137c
NC_000962.3	165323	165826		plus	hypothetical protein		886863	protein-coding			NP_214652.1	hypothetical protein	167	Rv0138
NC_000962.3	165827	166849		plus	oxidoreductase		886860	protein-coding			NP_214653.1	oxidoreductase	340	Rv0139
NC_000962.3	166910	167290		plus	hypothetical protein		886859	protein-coding			NP_214654.1	hypothetical protein	126	Rv0140
NC_000962.3	167271	167681		minus	hypothetical protein		886872	protein-coding			NP_214655.1	hypothetical protein	136	Rv0141c
NC_000962.3	167711	168637		plus	hypothetical protein		886858	protein-coding			NP_214656.1	hypothetical protein	308	Rv0142
NC_000962.3	168704	170182		minus	transmembrane protein		886856	protein-coding			NP_214657.1	transmembrane protein	492	Rv0143c
NC_000962.3	170284	171126		plus	transcriptional regulator		886854	protein-coding			NP_214658.1	transcriptional regulator	280	Rv0144
NC_000962.3	171215	172168		plus	S-adenosylmethionine-dependent methyltransferase		886851	protein-coding			NP_214659.1	S-adenosylmethionine-dependent methyltransferase	317	Rv0145
NC_000962.3	172211	173143		plus	S-adenosylmethionine-dependent methyltransferase		886849	protein-coding			NP_214660.1	S-adenosylmethionine-dependent methyltransferase	310	Rv0146
NC_000962.3	173238	174758		plus	aldehyde dehydrogenase		886847	protein-coding			NP_214661.1	aldehyde dehydrogenase	506	Rv0147
NC_000962.3	174833	175693		plus	short-chain type dehydrogenase/reductase		886845	protein-coding			NP_214662.1	short-chain type dehydrogenase/reductase	286	Rv0148
NC_000962.3	175700	176668		plus	quinone oxidoreductase		886843	protein-coding			NP_214663.1	quinone oxidoreductase	322	Rv0149
NC_000962.3	176665	176952		minus	hypothetical protein		886840	protein-coding			NP_214664.1	hypothetical protein	95	Rv0150c
NC_000962.3	177543	179309		minus	PE family protein PE1	PE1	886857	protein-coding			YP_177695.1	PE family protein PE1	588	Rv0151c
NC_000962.3	179319	180896		minus	PE family protein PE2	PE2	886838	protein-coding			YP_177696.1	PE family protein PE2	525	Rv0152c
NC_000962.3	181155	181985		minus	phosphotyrosine protein phosphatase	ptbB	886842	protein-coding			NP_214667.1	phosphotyrosine protein phosphatase	276	Rv0153c
NC_000962.3	181987	183198		minus	acyl-CoA dehydrogenase FadE2	fadE2	886836	protein-coding			NP_214668.1	acyl-CoA dehydrogenase FadE2	403	Rv0154c
NC_000962.3	183622	184722		plus	NAD(P) transhydrogenase subunit alpha PntAa	pntAa	886832	protein-coding			NP_214669.1	NAD(P) transhydrogenase subunit alpha PntAa	366	Rv0155
NC_000962.3	184723	185055		plus	NAD(P) transhydrogenase subunit alpha PntAb	pntAb	886890	protein-coding			NP_214670.1	NAD(P) transhydrogenase subunit alpha PntAb	110	Rv0156
NC_000962.3	185052	186479		plus	NAD(P) transhydrogenase subunit beta PntB	pntB	886830	protein-coding			NP_214671.1	NAD(P) transhydrogenase subunit beta PntB	475	Rv0157
NC_000962.3	186495	186623		minus	hypothetical protein		3205086	protein-coding			YP_007408797.1	hypothetical protein	42	Rv0157A
NC_000962.3	186785	187429		plus	transcriptional regulator		886828	protein-coding			NP_214672.1	transcriptional regulator	214	Rv0158
NC_000962.3	187433	188839		minus	PE family protein PE3	PE3	886826	protein-coding			YP_177697.1	PE family protein PE3	468	Rv0159c
NC_000962.3	188931	190439		minus	PE family protein PE4	PE4	886825	protein-coding			YP_177698.1	PE family protein PE4	502	Rv0160c
NC_000962.3	190607	191956		plus	oxidoreductase		886835	protein-coding			NP_214675.1	oxidoreductase	449	Rv0161
NC_000962.3	191984	193135		minus	zinc-type alcohol dehydrogenase subunit E	adhE1	886824	protein-coding			YP_177699.1	zinc-type alcohol dehydrogenase subunit E	383	Rv0162c
NC_000962.3	193117	193572		plus	hypothetical protein		886821	protein-coding			NP_214677.1	hypothetical protein	151	Rv0163
NC_000962.3	193626	194111		plus	hypothetical protein	TB18.5	886267	protein-coding			YP_177617.1	hypothetical protein	161	Rv0164
NC_000962.3	194144	194815		minus	transcriptional regulator Mce1R	mce1R	886818	protein-coding			YP_177700.2	transcriptional regulator Mce1R	223	Rv0165c
NC_000962.3	194993	196657		plus	fatty-acid--CoA ligase FadD5	fadD5	886822	protein-coding			NP_214680.1	fatty-acid--CoA ligase FadD5	554	Rv0166
NC_000962.3	196861	197658		plus	membrane protein	yrbE1A	886816	protein-coding			NP_214681.1	membrane protein	265	Rv0167
NC_000962.3	197660	198529		plus	membrane protein	yrbE1B	886812	protein-coding			NP_214682.1	membrane protein	289	Rv0168
NC_000962.3	198534	199898		plus	Mce family protein Mce1A	mce1A	886823	protein-coding			YP_177701.1	Mce family protein Mce1A	454	Rv0169
NC_000962.3	199895	200935		plus	Mce family protein Mce1B	mce1B	886810	protein-coding			NP_214684.1	Mce family protein Mce1B	346	Rv0170
NC_000962.3	200932	202479		plus	Mce family protein Mce1C	mce1C	886808	protein-coding			NP_214685.1	Mce family protein Mce1C	515	Rv0171
NC_000962.3	202476	204068		plus	Mce family protein Mce1D	mce1D	886807	protein-coding			NP_214686.1	Mce family protein Mce1D	530	Rv0172
NC_000962.3	204065	205237		plus	Mce family lipoprotein LprK	lprK	886804	protein-coding			NP_214687.1	Mce family lipoprotein LprK	390	Rv0173
NC_000962.3	205231	206778		plus	Mce family protein Mce1F	mce1F	886820	protein-coding			NP_214688.1	Mce family protein Mce1F	515	Rv0174
NC_000962.3	206814	207455		plus	Mce associated membrane protein		886801	protein-coding			NP_214689.3	Mce associated membrane protein	213	Rv0175
NC_000962.3	207452	208420		plus	Mce associated transmembrane protein		886799	protein-coding			NP_214690.1	Mce associated transmembrane protein	322	Rv0176
NC_000962.3	208417	208971		plus	Mce associated protein		886795	protein-coding			NP_214691.1	Mce associated protein	184	Rv0177
NC_000962.3	208938	209672		plus	Mce associated membrane protein		886814	protein-coding			NP_214692.1	Mce associated membrane protein	244	Rv0178
NC_000962.3	209703	210812		minus	lipoprotein LprO	lprO	886796	protein-coding			NP_214693.1	lipoprotein LprO	369	Rv0179c
NC_000962.3	210892	212250		minus	transmembrane protein		886792	protein-coding			NP_214694.1	transmembrane protein	452	Rv0180c
NC_000962.3	212277	213011		minus	hypothetical protein		886788	protein-coding			NP_214695.1	hypothetical protein	244	Rv0181c
NC_000962.3	213028	214140		minus	ECF RNA polymerase sigma factor SigG	sigG	886786	protein-coding			NP_214696.1	ECF RNA polymerase sigma factor SigG	370	Rv0182c
NC_000962.3	214088	214927		plus	lysophospholipase		886785	protein-coding			NP_214697.2	lysophospholipase	279	Rv0183
NC_000962.3	214969	215718		plus	hypothetical protein		886806	protein-coding			NP_214698.1	hypothetical protein	249	Rv0184
NC_000962.3	215715	216224		plus	hypothetical protein		886782	protein-coding			NP_214699.1	hypothetical protein	169	Rv0185
NC_000962.3	216269	218344		plus	beta-glucosidase BglS	bglS	886780	protein-coding			NP_214700.1	beta-glucosidase BglS	691	Rv0186
NC_000962.3	218390	218551		minus	metallothionein	mymT	14515880	protein-coding			YP_004837046.2	metallothionein	53	Rv0186A
NC_000962.3	218705	219367		plus	O-methyltransferase		886779	protein-coding			NP_214701.1	O-methyltransferase	220	Rv0187
NC_000962.3	219486	219917		plus	transmembrane protein		886776	protein-coding			NP_214702.1	transmembrane protein	143	Rv0188
NC_000962.3	219996	221723		minus	dihydroxy-acid dehydratase	ilvD	886774	protein-coding			NP_214703.1	dihydroxy-acid dehydratase	575	Rv0189c
NC_000962.3	221871	222161		plus	hypothetical protein		886772	protein-coding			NP_214704.1	hypothetical protein	96	Rv0190
NC_000962.3	222289	223530		plus	MFS-type transporter		886770	protein-coding			NP_214705.1	MFS-type transporter	413	Rv0191
NC_000962.3	223564	224664		plus	hypothetical protein		886768	protein-coding			NP_214706.1	hypothetical protein	366	Rv0192
NC_000962.3	224724	226571		minus	hypothetical protein		886764	protein-coding			NP_214707.1	hypothetical protein	615	Rv0193c
NC_000962.3	226878	230462		plus	multidrug ABC transporter ATPase/permease		886790	protein-coding			NP_214708.1	multidrug ABC transporter ATPase/permease	1194	Rv0194
NC_000962.3	230899	231534		plus	two component transcriptional regulator		886762	protein-coding			NP_214709.1	two component transcriptional regulator	211	Rv0195
